place,state,tags,avg_cost_per_day,trip_duration,best_for,season,climate,popularity
Murudeshwar,Karnataka,"beach,spiritual",1200,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Karwar,Karnataka,"beach,peaceful,nature,offbeat",1100,3,couples,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Mandvi Beach,Gujarat,"beach,offbeat,peaceful",1000,3,family,"oct,nov,dec,jan,feb",Tropical,Offbeat
Havelock Island,Andaman & Nicobar,"islands,beach,water-sports",3000,6,couples,"oct,nov,dec,jan,feb,mar,apr,may",Tropical,Medium
Neil Island,Andaman & Nicobar,"islands,beach,peaceful,nature",2500,6,couples,"oct,nov,dec,jan,feb,mar,apr,may",Tropical,Medium
Port Blair,Andaman & Nicobar,"islands,heritage,history,beach",2000,6,family,"oct,nov,dec,jan,feb,mar,apr,may",Tropical,Medium
Ross Island,Andaman & Nicobar,"islands,heritage,history",2200,6,family,"oct,nov,dec,jan,feb,mar,apr,may",Tropical,Medium
Kavaratti,Lakshadweep,"islands,beach,water-sports",3500,6,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Agatti Island,Lakshadweep,"islands,beach",3500,6,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Bangaram Island,Lakshadweep,"islands,beach,luxury",4000,6,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Minicoy Island,Lakshadweep,"islands,beach",3500,6,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Jaipur,Rajasthan,"heritage,culture",1500,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Udaipur,Rajasthan,"heritage,lakes,romantic",1800,3,couples,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Jaisalmer,Rajasthan,"desert,culture",1400,3,family,"oct,nov,dec,jan,feb",Arid,Medium
Jodhpur,Rajasthan,"heritage,culture",1300,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Pushkar,Rajasthan,"spiritual,culture",800,3,friends,"oct,nov,dec,jan,feb",Moderate,Medium
Ajmer,Rajasthan,"spiritual,heritage",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Bikaner,Rajasthan,"heritage,desert,culture",1200,3,family,"oct,nov,dec,jan,feb",Arid,Medium
Mount Abu,Rajasthan,"mountains,lakes,heritage",1400,3,"family, couples","oct,nov,dec,jan,feb,mar,apr,may",Cold,Medium
Ranthambore,Rajasthan,"nature,safari",2500,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Chittorgarh,Rajasthan,"heritage,history,culture",1200,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Bundi,Rajasthan,"heritage,offbeat",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Alwar,Rajasthan,"heritage,offbeat",1100,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Shekhawati,Rajasthan,"heritage,offbeat",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Kumbhalgarh,Rajasthan,"heritage,nature",1400,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Ranakpur,Rajasthan,heritage,1300,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Rann of Kutch,Gujarat,"desert,culture",2000,3,family,"nov,dec,jan,feb",Arid,Medium
Ahmedabad,Gujarat,"heritage,culture,food",1200,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Dwarka,Gujarat,"spiritual,beach",1000,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Somnath,Gujarat,"spiritual,beach,heritage",1100,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Gir National Park,Gujarat,"nature,safari",2200,3,family,"dec,jan,feb,mar,apr",Moderate,Medium
Saputara,Gujarat,"mountains,nature,peaceful",1200,3,family,"oct,nov,dec,jan,feb,mar",Cold,Medium
Vadodara,Gujarat,"heritage,culture",1300,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Statue of Unity,Gujarat,,1500,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Khajuraho,Madhya Pradesh,heritage,1200,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Pachmarhi,Madhya Pradesh,"mountains,nature,waterfalls,caves",1100,3,family,"oct,nov,dec,jan,feb,mar",Cold,Medium
Kanha National Park,Madhya Pradesh,"nature,safari",2300,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Bandhavgarh,Madhya Pradesh,"nature,safari",2400,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Orchha,Madhya Pradesh,"heritage,offbeat",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Ujjain,Madhya Pradesh,"spiritual,culture",900,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Omkareshwar,Madhya Pradesh,"spiritual,river",900,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Mandu,Madhya Pradesh,"heritage,offbeat",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Sanchi,Madhya Pradesh,heritage,900,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Munnar,Kerala,"mountains,nature",1600,3,couples,"sep,oct,nov,dec,jan,feb,mar,apr",Cold,Medium
Wayanad,Kerala,"mountains,nature",1400,3,family,"oct,nov,dec,jan,feb,mar",Cold,Medium
Thekkady,Kerala,"nature,boating",1500,3,family,"sep,oct,nov,dec,jan,feb,mar",Tropical,Medium
Kumarakom,Kerala,peaceful,2200,3,couples,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Kochi,Kerala,"heritage,culture,food",1500,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Vagamon,Kerala,"mountains,nature,peaceful,offbeat",1200,3,couples,"sep,oct,nov,dec,jan,feb,mar",Cold,Offbeat
Athirapally,Kerala,"waterfalls,nature,forest",1300,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Bekal,Kerala,"beach,heritage,peaceful",1400,3,couples,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Kannur,Kerala,"beach,culture,offbeat",1200,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Kollam,Kerala,"beach,lakes,peaceful",1300,3,couples,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Coorg,Karnataka,"mountains,nature,waterfalls",1600,3,"couples, family","oct,nov,dec,jan,feb,mar",Cold,Medium
Hampi,Karnataka,heritage,800,3,friends,"oct,nov,dec,jan,feb",Moderate,High
Mysore,Karnataka,"heritage,culture",1200,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Bangalore,Karnataka,"food,nightlife",1500,2,friends,"oct,nov,dec,jan,feb,mar",Subtropical,High
Chikmagalur,Karnataka,"mountains,nature,trekking",1400,5,couples,"sep,oct,nov,dec,jan,feb",Cold,Medium
Kabini,Karnataka,"nature,safari,luxury",3000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Dandeli,Karnataka,"adventure,rafting,nature",1500,5,friends,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Badami,Karnataka,"heritage,caves,offbeat",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Sakleshpur,Karnataka,"mountains,nature,trekking",1300,5,friends,"oct,nov,dec,jan,feb,mar",Cold,Medium
Udupi,Karnataka,"beach,food",1100,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Ooty,Tamil Nadu,"mountains,nature",1500,3,"family, couples","mar,apr,may,jun,sep,oct,nov",Cold,Medium
Kodaikanal,Tamil Nadu,"mountains,lakes,nature,peaceful",1400,3,"family, couples","apr,may,jun,sep,oct,nov",Cold,Medium
Chennai,Tamil Nadu,"beach,food",1300,2,family,"nov,dec,jan,feb,mar",Tropical,High
Madurai,Tamil Nadu,"heritage,culture,spiritual",1000,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Rameswaram,Tamil Nadu,"spiritual,beach",1100,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Kanyakumari,Tamil Nadu,beach,1200,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Thanjavur,Tamil Nadu,heritage,1000,3,family,"oct,nov,dec,jan,feb,mar",Tropical,High
Yercaud,Tamil Nadu,"mountains,nature,peaceful,offbeat",1200,3,couples,"oct,nov,dec,jan,feb,mar",Cold,Offbeat
Coonoor,Tamil Nadu,"mountains,nature",1400,3,couples,"mar,apr,may,jun,sep,oct,nov",Cold,Medium
Trichy,Tamil Nadu,"heritage,culture,history",1000,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Shillong,North East,"mountains,nature,waterfalls",1300,6,family,"mar,apr,may,sep,oct,nov",Cold,Medium
Cherrapunji,North East,"mountains,waterfalls,caves",1200,6,family,"oct,nov,dec,jan,feb,mar",Cold,Medium
Kaziranga,North East,nature,2000,6,family,"nov,dec,jan,feb,mar,apr",Moderate,High
Tawang,North East,mountains,1800,6,family,"mar,apr,may,sep,oct",Cold,Medium
Ziro Valley,North East,"mountains,offbeat",1400,6,family,"mar,apr,may,sep,oct",Cold,Offbeat
Majuli,North East,"islands,culture,offbeat",1000,6,family,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Gangtok,North East,"mountains,nature",1600,6,family,"mar,apr,may,sep,oct,nov",Cold,Medium
Pelling,North East,"mountains,trekking",1400,5,friends,"mar,apr,may,sep,oct,nov",Cold,Medium
Lachung,North East,"mountains,nature,offbeat",2000,6,family,"mar,apr,may,oct,nov",Cold,Offbeat
Dawki,North East,"nature,offbeat",1200,6,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Mawlynnong,North East,"nature,offbeat",1000,6,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Tezpur,North East,"heritage,nature,offbeat",1100,6,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Dimapur,North East,"heritage,culture,offbeat",1000,6,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Kohima,North East,"heritage,culture,mountains",1300,6,family,"oct,nov,dec,jan,feb,mar",Cold,Medium
Itanagar,North East,"nature,offbeat",1200,6,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Mumbai,Maharashtra,"food,nightlife",2000,2,friends,"oct,nov,dec,jan,feb,mar",Subtropical,High
Lonavala,Maharashtra,"mountains,waterfalls,caves",1500,2,"family, friends","jun,jul,aug,sep,oct,nov",Cold,Medium
Mahabaleshwar,Maharashtra,"mountains,nature",1600,3,"family, couples","oct,nov,dec,jan,feb,mar",Cold,Medium
Matheran,Maharashtra,"mountains,peaceful",1700,3,family,"oct,nov,dec,jan,feb,mar",Cold,Medium
Aurangabad,Maharashtra,"heritage,caves,history",1200,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Ajanta Ellora,Maharashtra,"heritage,caves",1300,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Nashik,Maharashtra,"spiritual,culture",1200,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Kolhapur,Maharashtra,"heritage,food,culture",1100,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Panchgani,Maharashtra,"mountains,nature,peaceful",1500,3,"couples, family","oct,nov,dec,jan,feb,mar",Cold,Medium
Igatpuri,Maharashtra,"mountains,waterfalls,trekking",1300,2,friends,"jun,jul,aug,sep,oct",Cold,Medium
Darjeeling,West Bengal,mountains,1400,3,"family, couples","mar,apr,may,sep,oct,nov",Cold,Medium
Kalimpong,West Bengal,"mountains,nature,peaceful",1200,3,solo,"mar,apr,may,sep,oct,nov",Cold,Medium
Kolkata,West Bengal,"heritage,food,culture",1300,2,family,"oct,nov,dec,jan,feb,mar",Subtropical,High
Sundarbans,West Bengal,nature,2000,3,family,"sep,oct,nov,dec,jan,feb",Moderate,Medium
Digha,West Bengal,beach,1000,2,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Shantiniketan,West Bengal,"heritage,culture,peaceful",1100,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Agra,Uttar Pradesh,heritage,1400,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Varanasi,Uttar Pradesh,"spiritual,culture",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Lucknow,Uttar Pradesh,"heritage,food,culture",1200,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Ayodhya,Uttar Pradesh,spiritual,900,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Mathura,Uttar Pradesh,spiritual,1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Vrindavan,Uttar Pradesh,spiritual,900,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Allahabad,Uttar Pradesh,spiritual,1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Sarnath,Uttar Pradesh,"spiritual,heritage",900,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Delhi,Delhi,"heritage,food",1500,2,family,"oct,nov,dec,jan,feb,mar",Subtropical,High
Agra-Delhi-Jaipur,Delhi,heritage,1800,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Bodhgaya,Bihar,spiritual,900,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Nalanda,Bihar,"heritage,history",800,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Rajgir,Bihar,"spiritual,nature",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Puri,Odisha,"spiritual,beach",1100,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Konark,Odisha,heritage,1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Bhubaneswar,Odisha,"heritage,culture",1200,2,family,"oct,nov,dec,jan,feb,mar",Subtropical,High
Chilika Lake,Odisha,nature,1300,3,family,"oct,nov,dec,jan,feb",Moderate,Medium
Hyderabad,Telangana,"heritage,food",1400,2,family,"oct,nov,dec,jan,feb,mar",Subtropical,High
Tirupati,Andhra Pradesh,spiritual,1200,3,family,"sep,oct,nov,dec,jan,feb,mar",Moderate,Medium
Araku Valley,Andhra Pradesh,"mountains,nature",1300,3,family,"oct,nov,dec,jan,feb,mar",Cold,Medium
Amaravati,Andhra Pradesh,heritage,1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Amritsar,Punjab & Haryana,"spiritual,heritage,food",1100,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Chandigarh,Punjab & Haryana,,1500,2,family,"oct,nov,dec,jan,feb,mar",Subtropical,High
Tirthan Valley,Himachal Pradesh,"mountains,nature,offbeat,trekking",1200,5,friends,"mar,apr,may,jun,sep,oct",Cold,Offbeat
Barot Valley,Himachal Pradesh,"mountains,offbeat,nature",1000,3,family,"mar,apr,may,jun,sep,oct",Cold,Offbeat
Malana,Himachal Pradesh,"mountains,offbeat,trekking",900,5,friends,"may,jun,jul,aug,sep",Cold,Offbeat
Sangla Valley,Himachal Pradesh,"mountains,offbeat,nature",1400,3,family,"apr,may,jun,sep,oct",Cold,Offbeat
Chitkul,Himachal Pradesh,"mountains,offbeat",1300,3,family,"may,jun,jul,aug,sep",Cold,Offbeat
Pithoragarh,Uttarakhand,"mountains,offbeat,nature,trekking",1100,5,friends,"mar,apr,may,jun,sep,oct",Cold,Offbeat
Munsiyari,Uttarakhand,"mountains,offbeat,trekking",1200,5,friends,"mar,apr,may,sep,oct",Cold,Offbeat
Chaukori,Uttarakhand,"mountains,offbeat,peaceful",1100,3,solo,"mar,apr,may,jun,sep,oct",Cold,Offbeat
Pangot,Uttarakhand,"mountains,nature,bird-watching,offbeat",1200,3,family,"mar,apr,may,sep,oct,nov",Cold,Offbeat
Abbott Mount,Uttarakhand,"mountains,offbeat,peaceful",1100,3,solo,"mar,apr,may,jun,sep,oct",Cold,Offbeat
Bhandardara,Maharashtra,"mountains,lakes,waterfalls",1300,2,family,"jun,jul,aug,sep,oct",Cold,Medium
Amboli,Maharashtra,"mountains,waterfalls,offbeat,nature",1200,3,family,"jun,jul,aug,sep",Cold,Offbeat
Chikhaldara,Maharashtra,"mountains,offbeat,nature",1100,3,family,"oct,nov,dec,jan,feb,mar",Cold,Offbeat
Toranmal,Maharashtra,"mountains,offbeat,nature",1000,3,family,"oct,nov,dec,jan,feb,mar",Cold,Offbeat
Khandala,Maharashtra,"mountains,waterfalls",1500,2,"family, couples","jun,jul,aug,sep,oct",Cold,Medium
Jim Corbett,Uttarakhand,"nature,safari",2500,3,family,"nov,dec,jan,feb,mar,apr,may",Moderate,Medium
Pench National Park,Maharashtra,"nature,safari",2200,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Tadoba,Maharashtra,"nature,safari",2400,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Nagarhole,India,"nature,safari",2300,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Periyar,Kerala,nature,1600,3,family,"sep,oct,nov,dec,jan,feb,mar",Tropical,Medium
Dudhwa National Park,Uttar Pradesh,"nature,offbeat",2000,3,family,"nov,dec,jan,feb,mar",Moderate,Offbeat
Bharatpur,Rajasthan,nature,1500,3,family,"oct,nov,dec,jan,feb",Moderate,High
Sariska,Rajasthan,"nature,safari",2000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Ponmudi,Kerala,"mountains,nature,offbeat",1300,3,couples,"sep,oct,nov,dec,jan,feb,mar",Cold,Offbeat
Nelliampathy,Kerala,"mountains,nature,offbeat",1200,3,family,"sep,oct,nov,dec,jan,feb,mar",Cold,Offbeat
Devikulam,Kerala,"mountains,nature,offbeat",1400,3,couples,"sep,oct,nov,dec,jan,feb,mar",Cold,Offbeat
Idukki,Kerala,"mountains,nature",1300,3,family,"sep,oct,nov,dec,jan,feb,mar",Cold,Medium
Silent Valley,Kerala,"nature,offbeat",1500,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Yelagiri,Tamil Nadu,"mountains,nature,adventure,offbeat",1200,5,family,"oct,nov,dec,jan,feb,mar",Cold,Offbeat
Valparai,Tamil Nadu,"mountains,offbeat",1400,3,family,"oct,nov,dec,jan,feb,mar",Cold,Offbeat
Kolli Hills,Tamil Nadu,"mountains,offbeat,nature,trekking",1100,5,friends,"oct,nov,dec,jan,feb,mar",Cold,Offbeat
Agumbe,Karnataka,"mountains,waterfalls,offbeat",1300,3,family,"jun,jul,aug,sep",Cold,Offbeat
Kudremukh,Karnataka,"mountains,trekking,nature,offbeat",1200,5,friends,"oct,nov,dec,jan,feb,mar",Cold,Offbeat
Bandipur,Karnataka,"nature,safari",2200,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
BR Hills,Karnataka,"mountains,nature,offbeat",1500,3,family,"oct,nov,dec,jan,feb,mar",Cold,Offbeat
Talakona,Andhra Pradesh,"waterfalls,nature,trekking,offbeat",1100,5,friends,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Barmer,Rajasthan,"desert,culture,offbeat",1100,3,family,"oct,nov,dec,jan,feb",Arid,Offbeat
Osian,Rajasthan,"desert,offbeat",1200,3,family,"oct,nov,dec,jan,feb",Arid,Offbeat
Sikar,Rajasthan,"heritage,offbeat",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Mandawa,Rajasthan,"heritage,culture",1100,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Nawalgarh,Rajasthan,"heritage,offbeat",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Champaner,Gujarat,"heritage,offbeat",1100,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Patan,Gujarat,heritage,1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Dholavira,Gujarat,heritage,1200,3,family,"oct,nov,dec,jan,feb",Moderate,High
Junagadh,Gujarat,heritage,1100,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Porbandar,Gujarat,"heritage,beach,history",1200,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Bhopal,Madhya Pradesh,"lakes,heritage,culture",1200,2,family,"oct,nov,dec,jan,feb,mar",Subtropical,High
