,place,avg_cost_per_day,trip_duration,popularity_High,popularity_Medium,popularity_Offbeat,popularity_Very High,adventure,beach,bird-watching,boating,camping,canyon,caves,culture,desert,food,forest,heritage,history,islands,lakes,luxury,mountains,nature,nightlife,offbeat,paragliding,peaceful,rafting,river,romantic,safari,skiing,spiritual,trekking,water-sports,waterfalls,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,couple,family,friends,solo,total_cost_log,region_Africa,region_Europe,region_Middle East,region_North America,region_Oceania,region_South Asia,region_Southeast Asia,region_nan,climate_Alpine,climate_Cold,climate_Continental,climate_Dry,climate_Highland,climate_Mediterranean,climate_Subtropical,climate_Temperate,climate_Tropical,climate_nan
45,aswan,-0.5000198046980691,-0.9997503713187681,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,-0.725897410706738,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,sharm el sheikh,-0.04698585772501346,0.9502927557764971,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0.6864718951470286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,dahab,-0.7265367781845969,0.9502927557764971,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,-0.0811973819598993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,alexandria,-0.5000198046980691,-0.9997503713187681,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,-0.725897410706738,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,siwa oasis,-0.6359299887899857,-0.0247288077711355,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,-0.3450780264474868,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,tunis,-0.5000198046980691,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,-0.1697270244596284,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
51,sidi bou said,-0.2735028312115413,-1.9747719348664006,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,-1.4265215655494927,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
52,djerba,-0.3641096206061524,0.9502927557764971,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0.3803634146480373,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
53,amboseli national park,0.17953111576151437,-0.9997503713187681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,-0.0811973819598993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,lake nakuru,-0.04698585772501346,-0.9997503713187681,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,-0.2643660039928396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,tsavo national park,0.08892432636690323,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0.40464350119680087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,lamu island,-0.2735028312115413,-0.0247288077711355,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.08037134713951817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,watamu,-0.04698585772501346,0.9502927557764971,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0.6864718951470286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,lake manyara,0.17953111576151437,-1.9747719348664006,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,-1.0319618075451535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,tarangire national park,0.17953111576151437,-0.9997503713187681,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,-0.0811973819598993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,pemba island,-0.04698585772501346,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0.29183050641794656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,mafia island,-0.04698585772501346,0.9502927557764971,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0.6864718951470286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,praslin,0.63256506273457,-0.0247288077711355,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0.7811174062342662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,la digue,0.4060480892480422,-0.0247288077711355,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0.6365823720495318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,nosy be,-0.2735028312115413,1.9253143193241298,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0.7811174062342662,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
65,avenue of the baobabs,-0.5000198046980691,-1.9747719348664006,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,-1.676558993147005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
66,isalo national park,-0.3641096206061524,-0.0247288077711355,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,-0.014269809478160596,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
67,andasibe-mantadia,-0.3641096206061524,-0.9997503713187681,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,-0.5704499919951291,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
68,windhoek,-0.5000198046980691,-0.9997503713187681,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,-0.725897410706738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,fish river canyon,-0.2735028312115413,0.9502927557764971,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0.4750072927622153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,skeleton coast,0.17953111576151437,-0.0247288077711355,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0.4750072927622153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,damaraland,0.08892432636690323,-0.0247288077711355,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0.40464350119680087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,maputo,-0.5000198046980691,-0.9997503713187681,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,-0.725897410706738,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
73,bazaruto archipelago,0.63256506273457,0.9502927557764971,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1.175768592935841,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
74,tofo beach,-0.5000198046980691,0.9502927557764971,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0.22490130106810993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
