,place,avg_cost_per_day,trip_duration,popularity_High,popularity_Medium,popularity_Offbeat,popularity_Very High,adventure,beach,bird-watching,boating,camping,canyon,caves,culture,desert,food,forest,heritage,history,islands,lakes,luxury,mountains,nature,nightlife,offbeat,paragliding,peaceful,rafting,river,romantic,safari,skiing,spiritual,trekking,water-sports,waterfalls,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,couple,family,friends,solo,total_cost_log,region_Africa,region_Europe,region_Middle East,region_North America,region_Oceania,region_South Asia,region_Southeast Asia,climate_Alpine,climate_Cold,climate_Continental,climate_Dry,climate_Highland,climate_Mediterranean,climate_Subtropical,climate_Temperate,climate_Tropical,climate_nan
36,tsitsikamma national park,3000,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,9.105090961257085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,pilanesberg national park,4000,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,9.392745258631441,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,port elizabeth,3000,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,8.699681400989514,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,chefchaouen,2500,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,8.517393171418904,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,fes,2500,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,8.922791623969637,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,essaouira,2800,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,9.036106025364846,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,atlas mountains,3000,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,9.105090961257085,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,casablanca,3000,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,8.699681400989514,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,tangier,2800,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,8.630700432209832,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,aswan,2500,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,8.517393171418904,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,sharm el sheikh,3500,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,9.546884034617925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,dahab,2000,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,8.987321812850125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,alexandria,2500,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,8.517393171418904,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,siwa oasis,2200,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,8.79497643168877,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,tunis,2500,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,8.922791623969637,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,sidi bou said,3000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,8.006700845440367,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,djerba,2800,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,9.32375833901174,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,amboseli national park,4000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,8.987321812850125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,lake nakuru,3500,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,8.853808274977197,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,tsavo national park,3800,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,9.34145634983372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,lamu island,3000,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,9.105090961257085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,watamu,3500,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,9.546884034617925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,lake manyara,4000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,8.294299608857235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,tarangire national park,4000,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,8.987321812850125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,pemba island,3500,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,9.259225769705994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,mafia island,3500,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,9.546884034617925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,praslin,5000,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,9.61587214452889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,la digue,4500,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,9.510519035757246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,nosy be,3000,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,9.61587214452889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,avenue of the baobabs,2500,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,7.824445930877619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,isalo national park,2800,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,9.036106025364846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,andasibe-mantadia,2800,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,8.630700432209832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,windhoek,2500,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,8.517393171418904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,fish river canyon,3000,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,9.392745258631441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,skeleton coast,4000,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,9.392745258631441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,damaraland,3800,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,9.34145634983372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,maputo,2500,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,8.517393171418904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,bazaruto archipelago,5000,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,9.90353755128617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,tofo beach,2500,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,9.210440366976517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,south luangwa,4000,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,9.680406499268875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,lower zambezi,4500,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,9.510519035757246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,kafue national park,3500,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,9.259225769705994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,harare,2500,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,8.517393171418904,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,hwange national park,3500,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,9.259225769705994,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,mana pools,4500,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,9.510519035757246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,makgadikgadi pans,4000,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,9.392745258631441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,jinja,2500,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,8.517393171418904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,queen elizabeth national park,3500,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,9.259225769705994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
